n_drops,En,He,accuracy,f1_macro,precision_macro,recall_macro
50,10,2,0.5509580964413561,0.5568241975921407,0.5887185689555695,0.5509580964413562
50,10,5,0.5585386397136239,0.5649523592949618,0.5898026152425189,0.5585386397136239
50,15,2,0.5601179195620131,0.5666563748931295,0.5889300910795673,0.5601179195620131
50,15,5,0.5582227837439461,0.5646478803159498,0.5852271195980964,0.5582227837439461
100,10,2,0.5495893872394189,0.5555173600629223,0.5875549892556248,0.5495893872394189
100,10,5,0.5570646451884608,0.563486408031962,0.5882444549276594,0.5570646451884608
100,15,2,0.5586439250368499,0.5651125170277865,0.5876308376528728,0.5586439250368498
100,15,5,0.5599073489155612,0.566305186644453,0.5864526320474113,0.5599073489155612
